sentence.ID,status,reading.time,type
1,Amb,561.7565890275888,npz
1,Unamb,450.61398984234705,npz
2,Amb,582.2608877917723,npz
2,Unamb,407.6491826543141,npz
3,Amb,576.7775046481526,npz
3,Unamb,464.275266083039,npz
4,Amb,545.7506039898907,npz
4,Unamb,465.75339439230436,npz
5,Amb,546.4816482099395,npz
5,Unamb,432.63758238522024,npz
1,Amb,613.8184357393419,npz
1,Unamb,443.0509139056408,npz
2,Amb,583.4088423528907,npz
2,Unamb,418.75687847865646,npz
3,Amb,558.601720627928,npz
3,Unamb,477.98663467813486,npz
4,Amb,559.4540855067222,npz
4,Unamb,462.98096642696333,npz
5,Amb,586.6842255669186,npz
5,Unamb,470.13625658071044,npz
1,Amb,606.9409485966497,npz
1,Unamb,452.07418261424533,npz
2,Amb,568.0304530320395,npz
2,Unamb,483.9113405201,npz
3,Amb,566.0977092736997,npz
3,Unamb,425.72404797264556,npz
4,Amb,584.7035563552238,npz
4,Unamb,470.43208257192543,npz
5,Amb,621.538294085621,npz
5,Unamb,452.04684761427063,npz
1,Amb,577.2558516199704,npz
1,Unamb,459.5740053970399,npz
2,Amb,590.0292012475994,npz
2,Unamb,451.03340477396995,npz
3,Amb,613.4579109531979,npz
3,Unamb,448.96152339645374,npz
4,Amb,580.1019251009398,npz
4,Unamb,397.4272777441796,npz
5,Amb,572.8402862757765,npz
5,Unamb,467.8767646059635,npz
1,Amb,581.9205433198882,npz
1,Unamb,455.60193992286696,npz
2,Amb,578.8812029012746,npz
2,Unamb,439.49337994557715,npz
3,Amb,552.2932459099833,npz
3,Unamb,428.8802920835503,npz
4,Amb,581.6375266292595,npz
4,Unamb,463.41241229485104,npz
5,Amb,548.4120701686754,npz
5,Unamb,448.59241132483317,npz
1,Amb,585.9401251759301,npz
1,Unamb,411.0092756194681,npz
2,Amb,581.5515251891737,npz
2,Unamb,445.34302253463215,npz
3,Amb,619.1714449486045,npz
3,Unamb,435.8805545131321,npz
4,Amb,574.2489030594224,npz
4,Unamb,476.6741425625438,npz
5,Amb,611.7839325597638,npz
5,Unamb,413.9430114853452,npz
1,Amb,562.7341697878588,npz
1,Unamb,486.23918390918845,npz
2,Amb,562.2680311883546,npz
2,Unamb,454.87356421518064,npz
3,Amb,601.9016272887569,npz
3,Unamb,449.340672407131,npz
4,Amb,583.9231312122929,npz
4,Unamb,447.81258414388094,npz
5,Amb,580.9531875399714,npz
5,Unamb,439.96864721331457,npz
1,Amb,608.6378410508539,npz
1,Unamb,426.1033605798377,npz
2,Amb,586.006214967268,npz
2,Unamb,430.34246143729086,npz
3,Amb,586.1166357430244,npz
3,Unamb,459.7806844425159,npz
4,Amb,560.0774574898139,npz
4,Unamb,449.8498857913566,npz
5,Amb,593.8893618772374,npz
5,Unamb,473.50823674273573,npz
1,Amb,610.6483373280204,npz
1,Unamb,482.99156701442075,npz
2,Amb,578.0304459695528,npz
2,Unamb,443.6107879061262,npz
3,Amb,538.3451505677481,npz
3,Unamb,469.31179330633046,npz
4,Amb,565.8942252410122,npz
4,Unamb,441.57236854872644,npz
5,Amb,601.0058607225969,npz
5,Unamb,475.6037567768695,npz
1,Amb,569.5834408204522,npz
1,Unamb,428.6869386777018,npz
2,Amb,571.5891616507996,npz
2,Unamb,416.5603077113378,npz
3,Amb,564.1871134758874,npz
3,Unamb,472.57401510952565,npz
4,Amb,597.0109233357504,npz
4,Unamb,432.5447316578511,npz
5,Amb,578.6509576142173,npz
5,Unamb,421.1354892673258,npz
1,Amb,575.8143892080797,npz
1,Unamb,451.41248210963494,npz
2,Amb,574.4979605119644,npz
2,Unamb,423.260601518047,npz
3,Amb,581.180076210739,npz
3,Unamb,443.9277282639372,npz
4,Amb,581.7319420105604,npz
4,Unamb,473.5481269292555,npz
5,Amb,545.4139209868432,npz
5,Unamb,438.2482671384437,npz
1,Amb,562.9120436536551,npz
1,Unamb,477.9936419402585,npz
2,Amb,591.4869537485841,npz
2,Unamb,466.8358061924818,npz
3,Amb,600.601134169667,npz
3,Unamb,467.83817749701706,npz
4,Amb,585.6555752194563,npz
4,Unamb,446.3078689062609,npz
5,Amb,526.9258158145652,npz
5,Unamb,442.33640952652485,npz
1,Amb,324.0142742613034,nps
1,Unamb,294.49389513864253,nps
2,Amb,325.0903156906481,nps
2,Unamb,327.07420343966066,nps
3,Amb,318.92386022338326,nps
3,Unamb,258.5400981239048,nps
4,Amb,325.9499554833328,nps
4,Unamb,284.3129359976382,nps
5,Amb,362.6536008949175,nps
5,Unamb,299.1111154309906,nps
1,Amb,350.3859013524041,nps
1,Unamb,321.22506410103324,nps
2,Amb,314.6478611169962,nps
2,Unamb,278.31180500138316,nps
3,Amb,302.2501592155336,nps
3,Unamb,283.2862744572961,nps
4,Amb,343.04275977248295,nps
4,Unamb,272.2543777945094,nps
5,Amb,316.83581682604756,nps
5,Unamb,297.50663477492134,nps
1,Amb,347.8362724743916,nps
1,Unamb,300.2888746055734,nps
2,Amb,311.00619955913277,nps
2,Unamb,293.81252969667014,nps
3,Amb,328.6490885645994,nps
3,Unamb,298.8906517525601,nps
4,Amb,313.3454502875262,nps
4,Unamb,302.54100163609303,nps
5,Amb,342.18405811606516,nps
5,Unamb,292.19943290285465,nps
1,Amb,325.3479168990843,nps
1,Unamb,299.50510906731125,nps
2,Amb,340.805339778586,nps
2,Unamb,346.7201700399785,nps
3,Amb,353.40087309353584,nps
3,Unamb,317.5645593307368,nps
4,Amb,330.1147708369092,nps
4,Unamb,280.6569343229241,nps
5,Amb,319.03546778857776,nps
5,Unamb,320.2643323692832,nps
1,Amb,346.8211911072845,nps
1,Unamb,316.95429612431553,nps
2,Amb,291.0948071910052,nps
2,Unamb,309.2474485098092,nps
3,Amb,304.2769214553131,nps
3,Unamb,308.06519754587436,nps
4,Amb,336.4623802730606,nps
4,Unamb,315.8123166505116,nps
5,Amb,307.5858170371025,nps
5,Unamb,299.6870429340689,nps
1,Amb,323.28622363059617,nps
1,Unamb,283.0498905920124,nps
2,Amb,304.1631013508411,nps
2,Unamb,297.62464109277147,nps
3,Amb,335.33596892207163,nps
3,Unamb,348.67804219683177,nps
4,Amb,330.9994788487092,nps
4,Unamb,314.04142090731744,nps
5,Amb,332.31028032751465,nps
5,Unamb,299.9117993053897,nps
1,Amb,338.34306988204196,nps
1,Unamb,282.28751396389873,nps
2,Amb,342.0950540872299,nps
2,Unamb,303.7938397610983,nps
3,Amb,352.1122114692361,nps
3,Unamb,317.6110358794251,nps
4,Amb,328.18030994325085,nps
4,Unamb,301.8215330373578,nps
5,Amb,314.4352895003597,nps
5,Unamb,323.01607005485903,nps
1,Amb,322.2149646503455,nps
1,Unamb,293.88822447436854,nps
2,Amb,363.70449628339134,nps
2,Unamb,338.0468780057447,nps
3,Amb,335.47031938020217,nps
3,Unamb,282.28117514474104,nps
4,Amb,332.0959998281998,nps
4,Unamb,300.67693476948034,nps
5,Amb,333.22423315827467,nps
5,Unamb,275.1986025942192,nps
1,Amb,319.3190818905422,nps
1,Unamb,310.4565355027744,nps
2,Amb,312.9661774359716,nps
2,Unamb,340.68840054199745,nps
3,Amb,309.01086120811595,nps
3,Unamb,263.45637102265937,nps
4,Amb,331.9892618593381,nps
4,Unamb,342.6366039907133,nps
5,Amb,348.20918984794974,nps
5,Unamb,303.5761219151758,nps
1,Amb,307.83786227495654,nps
1,Unamb,315.80263649636044,nps
2,Amb,310.8479841400222,nps
2,Unamb,312.7616618287294,nps
3,Amb,329.5000253394336,nps
3,Unamb,284.9263305646299,nps
4,Amb,351.3824779305516,nps
4,Unamb,315.6319594509864,nps
5,Amb,338.6924028847448,nps
5,Unamb,334.853995217898,nps
1,Amb,354.6739837472245,nps
1,Unamb,322.2556058650704,nps
2,Amb,347.1774082052049,nps
2,Unamb,302.0625016029953,nps
3,Amb,315.4450930411511,nps
3,Unamb,281.9954920981022,nps
4,Amb,334.63167503701493,nps
4,Unamb,291.3374432358851,nps
5,Amb,354.02668587830004,nps
5,Unamb,271.7145541038179,nps
