"","gender","pitch","age"
"1","m",198.561699051567,30
"2","m",187.936782924715,34
"3","m",155.036570422143,24
"4","m",192.715549160512,35
"5","m",214.019926259229,28
"6","m",203.147809617388,27
"7","m",201.342563620042,26
"8","m",188.92593118891,28
"9","m",196.58992963116,37
"10","m",187.375363645388,36
"11","m",202.334119213825,24
"12","m",197.73335914401,29
"13","m",180.213384206786,30
"14","m",225.688211726543,28
"15","m",249.80846133878,37
"16","m",211.172173072979,29
"17","m",214.000601178821,30
"18","m",206.118058186392,34
"19","m",203.522244380298,28
"20","m",178.667964073642,24
"21","m",216.971941476757,25
"22","m",177.193340316425,34
"23","m",169.696387309059,34
"24","m",197.145703599512,32
"25","m",226.526677517158,18
"26","m",177.267774837112,36
"27","m",183.391436623346,39
"28","m",193.676264442893,23
"29","m",186.969551062956,25
"30","m",161.684372157429,23
"31","m",194.615061932183,35
"32","m",201.773605433682,29
"33","m",160.577321081238,23
"34","m",225.604258289782,23
"35","m",206.992758969967,30
"36","m",179.97717438886,30
"37","m",204.64810015943,24
"38","m",198.607277229148,35
"39","m",224.081188699231,35
"40","m",214.744988519542,27
"41","m",166.16774727319,45
"42","m",213.987237694134,48
"43","m",206.20676586532,40
"44","m",222.335864735529,48
"45","m",199.106328097815,46
"46","m",213.633903339737,54
"47","m",240.586437374078,54
"48","m",192.037661284149,42
"49","m",188.660583345219,48
"50","m",172.93060657223,56
"51","m",220.822441116095,45
"52","m",227.686577580209,60
"53","m",191.877749660092,51
"54","m",199.317473875201,44
"55","m",196.326683627977,50
"56","m",226.558425270971,43
"57","m",209.312451282963,50
"58","m",254.448034318151,51
"59","m",202.613356251085,49
"60","m",193.142054481925,41
"61","m",176.532060729071,52
"62","m",219.243796558467,52
"63","m",259.497380218882,46
"64","m",197.076125784931,41
"65","m",205.615181388964,59
"66","m",200.046309951396,30
"67","m",232.720610540294,45
"68","m",220.023208634931,59
"69","m",198.041275100102,41
"70","m",238.723637976914,53
"71","m",244.663872813945,51
"72","m",180.393283937529,50
"73","m",205.125275948773,42
"74","m",201.412190942756,51
"75","m",201.644574743536,55
"76","m",223.612875666318,44
"77","m",212.580582205126,62
"78","m",176.067160880325,54
"79","m",228.344302114673,51
"80","m",224.320727453142,44
"81","f",73.1286138976706,24
"82","f",111.574731747605,29
"83","f",78.637278866864,26
"84","f",121.632851739303,25
"85","f",140.766135259686,28
"86","f",79.6841703989101,30
"87","f",92.3924860879683,27
"88","f",136.664780089464,32
"89","f",71.9577219918505,27
"90","f",109.678867341627,31
"91","f",115.188370702434,26
"92","f",104.662313355168,33
"93","f",103.588059955874,27
"94","f",78.8301564275652,29
"95","f",82.809453423211,18
"96","f",103.878853023797,20
"97","f",118.682829496553,24
"98","f",131.098927223837,23
"99","f",95.2458509476866,39
"100","f",132.110673527121,28
"101","f",117.085910002935,33
"102","f",142.131026721422,33
"103","f",102.83166990791,38
"104","f",114.240917485912,39
"105","f",110.741564028031,26
"106","f",86.3637276622344,36
"107","f",46.5649366904022,23
"108","f",116.735254304888,37
"109","f",93.2975295998555,26
"110","f",103.150716539021,24
"111","f",70.8334078573596,24
"112","f",63.0296255195266,34
"113","f",123.33885351089,26
"114","f",133.437923069397,24
"115","f",114.853139954758,28
"116","f",105.536511129016,23
"117","f",93.8722383225794,28
"118","f",145.757767366493,29
"119","f",86.8768811743911,39
"120","f",166.511669483234,45
"121","f",98.9089470781456,48
"122","f",121.708099940231,46
"123","f",145.275665225994,70
"124","f",83.9239357709014,37
"125","f",71.8105578089545,58
"126","f",111.450910858447,51
"127","f",119.669771161216,52
"128","f",144.34280603322,60
"129","f",105.992653190623,53
"130","f",111.519749351877,46
"131","f",105.663008500836,41
"132","f",145.878486303731,55
"133","f",84.9480259877446,62
"134","f",78.2494717926302,39
"135","f",112.331300616211,56
"136","f",74.4267662814366,55
"137","f",39.7534335197852,62
"138","f",122.967786508491,46
"139","f",117.068421652461,53
"140","f",93.7272242743468,47
"141","f",78.4101377964315,64
"142","f",107.878440098738,48
"143","f",100.354596594864,51
"144","f",99.9366975408497,48
"145","f",103.628314423687,52
"146","f",108.450956421805,44
"147","f",90.3975642746575,36
"148","f",113.503027571533,53
"149","f",115.932032413481,52
"150","f",32.4669608026715,44
"151","f",108.435206687826,54
"152","f",151.4257227243,45
"153","f",127.514417806702,56
"154","f",68.4571157461083,49
"155","f",84.9587783441344,46
"156","f",129.623452197714,55
"157","f",110.683713998688,57
"158","f",105.365610554206,45
